symbol,modification
{,pmnm5U
œ,m1Am
œ,pm1Am
ε,m1Gm
ε,pm1Gm
ξ,m1Im
ξ,pm1Im
ω,pse2U
2,ps2U
α,m1acp3Y
α,pm1acp3Y
Ѣ,m1A
K,m1G
O,m1I
O,pm1I
],m1Y
],pm1Y
K,pm1G
Ħ,pm5Um
ʩ,pAr(p)
¡,hm5Cm
¡,phm5Cm
ʍ,Am
ʍ,pAm
B,Cm
#,Gm
Ш,Im
Ш,pIm
Z,Ym
Z,pYm
J,Um
Ͽ,mcmo5Um
Ͽ,pmcmo5Um
ʩ,Ar(p)
ℑ,Gr(p)
ℑ,pGr(p)
Ғ,N2'3'cp
±,"m2,8A"
±,"pm2,8A"
£,msms2i6A
£,pmsms2i6A
Γ,ges2U
Γ,pges2U
},k2C
},pk2C
ɿ,m2A
ɿ,pm2A
ÿ,ms2ct6A
ÿ,pms2ct6A
≠,ms2io6A
≠,pms2io6A
≈,ms2hn6A
≈,pms2hn6A
*,pms2i6A
*,ms2i6A
∞,ms2m6A
∞,pms2m6A
[,ms2t6A
[,pms2t6A
ω,se2U
∏,s2Um
∏,ps2Um
ʤ,s2C
ʤ,ps2C
2,s2U
L,pm2G
σ,m3Um
σ,pm3Um
Ð,acp3D
Ð,pacp3D
Þ,acp3Y
Þ,pacp3Y
X,acp3U
X,pacp3U
Щ,m3C
Щ,pm3C
Ƒ,m3Y
Ƒ,pm3Y
δ,m3U
δ,pm3U
†,imG-14
†,pimG-14
ν,pm4C
4,s4U
4,ps4U
λ,pm4Cm
♠,CoApN
♣,acCoApN
♥,malonyl-CoApN
♦,succinyl-CoApN
ϒ,ppN
ɀ,5'-OH-N
Ξ,NADpN
ϖ,pppN
τ,m5Cm
τ,pm5Cm
Ħ,m5Um
D,pD
b,mchm5Um
b,pmchm5Um
ɮ,mchm5U
ɮ,pmchm5U
V,pcmo5U
Ƣ,phm5C
Ю,inm5Um
Ю,pinm5Um
Ɲ,inm5s2U
Ɲ,pinm5s2U
¾,inm5U
¾,pinm5U
3,pmcm5s2U
Δ,nm5ges2U
Δ,pnm5ges2U
π,nm5se2U
π,pnm5se2U
∫,nm5s2U
∫,pnm5s2U
∪,nm5U
∪,pnm5U
r,nchm5U
r,pnchm5U
~,ncm5Um
~,pncm5Um
l,ncm5s2U
l,pncm5s2U
&,ncm5U
&,pncm5U
≥,chm5U
≥,pchm5U
℘,cm5s2U
℘,pcm5s2U
),cmnm5Um
),pcmnm5Um
f,cmnm5ges2U
f,pcmnm5ges2U
⊥,cmnm5se2U
⊥,pcmnm5se2U
$,cmnm5s2U
$,pcmnm5s2U
!,cmnm5U
!,pcmnm5U
◊,cm5U
◊,pcm5U
Ѷ,cnm5U
Ѷ,pcnm5U
°,f5Cm
°,pf5Cm
>,f5C
>,pf5C
Ç,ho5C
Ç,pho5C
Ƣ,hm5C
∝,ho5U
∝,pho5U
∩,mcm5Um
∩,pmcm5Um
3,mcm5s2U
1,mcm5U
1,pmcm5U
5,mo5U
5,pmo5U
F,m5s2U
F,pm5s2U
h,mnm5ges2U
h,pmnm5ges2U
≅,mnm5se2U
≅,pmnm5se2U
S,mnm5s2U
S,pmnm5s2U
{,mnm5U
?,m5C
?,pm5C
ρ,m5D
ρ,pm5D
T,m5U
T,pm5U
ƕ,tm5s2U
ƕ,ptm5s2U
ʭ,tm5U
ʭ,ptm5U
ζ,"pm6,6A"
¥,yW-86
¥,pyW-86
Ω,yW-72
⇑,yW-58
⇑,pyW-58
Ω,pyW-72
∇,preQ1base
∉,preQ1
∉,ppreQ1
ψ,preQ0base
φ,preQ0
φ,ppreQ0
7,m7G
7,pm7G
â,m8A
â,pm8A
ℵ,pac4Cm
μ,"pm4,4C"
Ϭ,ApppppN
Ĳ,AppppN
Ϩ,ApppN
Ợ,pAp
Ҕ,pA2'3'cp
ƿ,pppA
¿,C+
¿,pC+
Ѽ,mmpN
Ѿ,mpN
.,N
(,G+
(,pG+
e,ct6A
e,pct6A
Ҏ,pC2'3'cp
D,D
ς,oQ
ς,poQ
9,galQ
9,pgalQ
§,mpppN
⊄,gluQ
⊄,pgluQ
Ґ,pG2'3'cp
Ʉ,pG(pN)
ϑ,GpppN
Ⱥ,pGp
Ƈ,ppG
Ȝ,pppG
«,ht6A
«,pht6A
⊆,OHyW
⊆,pOHyW
I,I
I,pI
⊇,imG2
⊇,pimG2
8,manQ
8,pmanQ
y,OHyWy
y,pOHyWy
∑,mimG
∑,pmimG
Ѣ,pm1A
M,pac4C
γ,m2Gm
γ,pm2Gm
æ,"m2,7Gm"
∨,"pm2,7Gm"
∨,"m2,7G"
®,"m2,7GpppN"
æ,"pm2,7G"
|,"m2,2Gm"
|,"pm2,2Gm"
∠,"m2,2,7G"
¶,"m2,2,7GpppN"
∠,"pm2,2,7G"
R,"m2,2G"
R,"pm2,2G"
L,m2G
λ,m4Cm
β,"m4,4Cm"
β,"pm4,4Cm"
μ,"m4,4C"
ℵ,ac4Cm
M,ac4C
ν,m4C
χ,m6Am
χ,pm6Am
η,"m6,6Am"
η,"pm6,6Am"
ζ,"m6,6A"
Ỽ,io6A
Ỽ,pio6A
⇓,ac6A
⇓,pac6A
Ϩ,f6A
Ϩ,pf6A
≡,g6A
≡,pg6A
Ϫ,hm6A
Ϫ,phm6A
√,hn6A
√,phn6A
Ч,pi6A
Ч,i6A
Ϛ,m6ApppppN
Ϙ,m6AppppN
Ϯ,m6ApppN
E,m6t6A
E,pm6t6A
Ж,m6A
Ж,pm6A
6,t6A
6,pt6A
Ϟ,m7GppppN
©,m7GpppN
B,pCm
#,pGm
J,pUm
W,o2yW
W,po2yW
P,Y
P,pY
∴,Qbase
Q,Q
Q,pQ
š,OHyWx
š,pOHyWx
m,pN
Ѯ,xX
H,xA
Ѵ,xC
ʆ,xG
N,xU
Ѩ,Xm
V,cmo5U
υ,mcmo5U
υ,pmcmo5U
Ҋ,pU2'3'cp
Y,yW
Y,pyW
ϓ,pyyW
€,imG
€,pimG
